"name"	"SN2003bq"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"discoverday"	"6"
"discoverer"	"Boles"
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"+412515"
"galra"	"064252"
"host"	"UGC 3513"
"hvel"	"7316"
"maxday"	"6"
"maxmonth"	"3"
"maxyear"	"2003"
"redshift"	"0.0247"
"sndec"	"+412519.9"
"snra"	"064250.12"
"photometry"	"timeunit"	"MJD"	"time"	"52704.95"	"band"	"C"	"abmag"	"18.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52705.79"	"band"	"C"	"abmag"	"18.7"	"source"	"1,2"
