"name"	"LSQ13bus"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5331'>ATEL 5331</a>"	"alias"	"2"
"aliases"	"LSQ13bus,PS1-13dgp"
"claimedtype"	"II"
"discoverday"	"16"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"8"
"discoveryear"	"2013"
"maxday"	"16"
"maxmonth"	"8"
"maxyear"	"2013"
"redshift"	"0.07"
"sndec"	"-08:34:28.0"
"snra"	"22:04:07.35"
"photometry"	"timeunit"	"MJD"	"time"	"56520.5"	"abmag"	"19.2"	"source"	"2,1"
