"name"	"SN2014cs"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003957.txt'>CBET 3957</a>"	"alias"	"2"
"aliases"	"SN2014cs,PSN J21355236-6205398"
"claimedtype"	"Ia"
"discoverday"	"21"
"discoverer"	"Stu Parker"
"discovermonth"	"6"
"discoveryear"	"2014"
"galdec"	"-620546"
"galra"	"213552"
"host"	"PGC 349297"
"hvel"	"16074"
"maxday"	"21"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.054"
"sndec"	"-62:05:39.8"
"snra"	"21:35:52.36"
"photometry"	"timeunit"	"MJD"	"time"	"56829.5"	"abmag"	"17.1"	"source"	"2,1"
