"name"	"PSN J21401802-0704107"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7632'>ATEL 7632</a>"	"alias"	"2"
"aliases"	"PSN J21401802-0704107,MASTER OT J214018.02-070410.7"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"MASTER"
"discovermonth"	"6"
"discoveryear"	"2015"
"host"	"PGC 1024917"
"maxday"	"11"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.05"
"sndec"	"-07:04:10.7"
"snra"	"21:40:18.02"
"photometry"	"timeunit"	"MJD"	"time"	"57184.5"	"abmag"	"17.9"	"source"	"2,1"
