"name"	"SN2014ai"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003838.txt'>CBET 3838</a>"	"alias"	"2"
"aliases"	"SN2014ai,PSN J09194417+3345496"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+334459"
"galra"	"091947"
"host"	"NGC 2832"
"hvel"	"6869"
"maxday"	"28"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.023176"
"sndec"	"+33:45:49.6"
"snra"	"09:19:44.17"
"photometry"	"timeunit"	"MJD"	"time"	"56744.5"	"abmag"	"15.6"	"source"	"2,1"
