"name"	"SN2014eg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6711'>ATEL 6711</a>"	"alias"	"2"
"aliases"	"SN2014eg,PESSTO ESO 154-G10"
"claimedtype"	"Ia-91T"
"discoverday"	"11"
"discoverer"	"ESO Spectroscopic Survey for Transient Objects"
"discovermonth"	"12"
"discoveryear"	"2014"
"galdec"	"-554427"
"galra"	"024509"
"host"	"ESO 154-G10"
"hvel"	"5507"
"maxday"	"11"
"maxmonth"	"12"
"maxyear"	"2014"
"redshift"	"0.018"
"sndec"	"-55:44:16.9"
"snra"	"02:45:09.27"
"photometry"	"timeunit"	"MJD"	"time"	"57002.5"	"abmag"	"15.6"	"source"	"2,1"
