"name"	"SN2014ay"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003871.txt'>CBET 3871</a>"	"alias"	"2"
"aliases"	"SN2014ay,ASASSN-14at"
"claimedtype"	"II"
"discoverday"	"3"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"+181526"
"galra"	"175505"
"host"	"UGC 11037"
"hvel"	"3127"
"maxday"	"3"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.010431"
"sndec"	"+18:15:26.5"
"snra"	"17:55:05.43"
"photometry"	"timeunit"	"MJD"	"time"	"56780.5"	"abmag"	"16.7"	"source"	"2,1"
