"name"	"SN2009fe"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001820.txt'>CBET 1820</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009fe,PTF09go"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"PTF"
"discovermonth"	"5"
"discoveryear"	"2009"
"galdec"	"+495000"
"galra"	"164734"
"host"	"PGC 2354835"
"hvel"	"14100"
"maxday"	"16"
"maxmonth"	"5"
"maxyear"	"2009"
"redshift"	"0.047"
"sndec"	"+49:50:00.4"
"snra"	"16:47:34.81"
"photometry"	"timeunit"	"MJD"	"time"	"54967.5"	"abmag"	"18.1"	"source"	"2,1"
