"name"	"SN2011ii"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002921.txt'>CBET 2921</a>"	"alias"	"2"
"aliases"	"SN2011ii,PSN J07163408-3829038"
"claimedtype"	"Ib"
"discoverday"	"22"
"discoverer"	"CHASE"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-382915"
"galra"	"071635"
"host"	"ESO 310-G6"
"hvel"	"6938"
"maxday"	"22"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0232"
"sndec"	"-38:29:03.7"
"snra"	"07:16:34.08"
"photometry"	"timeunit"	"MJD"	"time"	"55887.5"	"abmag"	"16.8"	"source"	"2,1"
