"name"	"SN2006kw"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+003609"
"galra"	"021457"
"host"	"A021457+0036"
"hvel"	"51600"
"maxday"	"27"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.19"
"sndec"	"+003609.0"
"snra"	"021457.98"
"photometry"	"timeunit"	"MJD"	"time"	"54024.0"	"band"	"g"	"abmag"	"21.2"	"source"	"1"
