"name"	"iPTF14eje"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6445'>ATEL 6445</a>"	"alias"	"2"
"aliases"	"iPTF14eje,CSS140903:231310+291129"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"PTF"
"discovermonth"	"9"
"discoveryear"	"2014"
"maxday"	"2"
"maxmonth"	"9"
"maxyear"	"2014"
"redshift"	"0.12"
"sndec"	"+29:11:28.9"
"snra"	"23:13:10.35"
"photometry"	"timeunit"	"MJD"	"time"	"56902.5"	"abmag"	"18.9"	"source"	"2,1"
