"name"	"K0905-7"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001828.txt'>CBET 1828</a>"	"alias"	"2"
"aliases"	"K0905-7,CSS090518:123049+285701"
"discoverday"	"17"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2009"
"maxday"	"17"
"maxmonth"	"5"
"maxyear"	"2009"
"sndec"	"+28:57:01.4"
"snra"	"12:30:48.77"
"photometry"	"timeunit"	"MJD"	"time"	"54968.5"	"abmag"	"19.5"	"source"	"2,1"
