"name"	"SN2002hx"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"11"
"discoverer"	"LOTOSS"
"discovermonth"	"11"
"discoveryear"	"2002"
"galdec"	"-144656"
"galra"	"082740"
"host"	"PGC0023727"
"hvel"	"9293"
"maxday"	"11"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.0315"
"sndec"	"-144715.7"
"snra"	"082739.43"
"photometry"	"timeunit"	"MJD"	"time"	"52589.5"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52590.5"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
