"name"	"MASTER OT 082752.77+704606.0"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3255'>ATEL 3255</a>"	"alias"	"2"
"aliases"	"MASTER OT 082752.77+704606.0"
"claimedtype"	"II"
"discoverday"	"25"
"discoverer"	"MASTER"
"discovermonth"	"3"
"discoveryear"	"2011"
"maxday"	"25"
"maxmonth"	"3"
"maxyear"	"2011"
"sndec"	"+70:46:06.0"
"snra"	"08:27:52.77"
"photometry"	"timeunit"	"MJD"	"time"	"55645.5"	"abmag"	"19.1"	"source"	"2,1"
