"name"	"SN2014ct"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003958.txt'>CBET 3958</a>"	"alias"	"2"
"aliases"	"SN2014ct,PSN J09592516-0015192"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Stu Parker"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"-001514"
"galra"	"095926"
"host"	"PGC 28871"
"hvel"	"14250"
"maxday"	"31"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.048"
"sndec"	"-00:15:19.2"
"snra"	"09:59:25.16"
"photometry"	"timeunit"	"MJD"	"time"	"56808.5"	"abmag"	"18.7"	"source"	"2,1"
