"name"	"PSN J23374322-4730393"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7919'>ATEL 7919</a>"	"alias"	"2"
"aliases"	"PSN J23374322-4730393,MASTER OT J233743.22-473039.3"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"MASTER"
"discovermonth"	"8"
"discoveryear"	"2015"
"host"	"ESO 240-G10"
"maxday"	"16"
"maxmonth"	"8"
"maxyear"	"2015"
"redshift"	"0.01"
"sndec"	"-47:30:39.3"
"snra"	"23:37:43.22"
"photometry"	"timeunit"	"MJD"	"time"	"57250.5"	"abmag"	"16.3"	"source"	"2,1"
