"name"	"SN2002hy"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ib pec"
"discoverday"	"12"
"discoverer"	"Monard"
"discovermonth"	"11"
"discoveryear"	"2002"
"galdec"	"-210400"
"galra"	"105440"
"host"	"NGC 3464"
"hvel"	"3806"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.0128"
"sndec"	"-210341.2"
"snra"	"105439.18"
"photometry"	"timeunit"	"MJD"	"time"	"52590.09"	"band"	"R"	"abmag"	"16.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52592.08"	"band"	"R"	"abmag"	"16.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52595.05"	"band"	"R"	"abmag"	"16.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52621.26"	"band"	"R"	"abmag"	"18.4"	"source"	"1,2"
