"name"	"SN2009lz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002000/CBET002059.txt'>CBET 2059</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009lz,CSS090925:001259+144121"
"claimedtype"	"IIn"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2009"
"galdec"	"+144121"
"galra"	"001259"
"host"	"A001259+1441"
"hvel"	"15000"
"maxday"	"24"
"maxmonth"	"9"
"maxyear"	"2009"
"redshift"	"0.05"
"sndec"	"+14:41:21.3"
"snra"	"00:12:59.46"
"photometry"	"timeunit"	"MJD"	"time"	"55098.5"	"abmag"	"18.8"	"source"	"2,1"
