"name"	"SN2013fy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003687.txt'>CBET 3687</a>"	"alias"	"2"
"aliases"	"SN2013fy,PSN J21372712-4701548"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"Stu Parker"
"discovermonth"	"10"
"discoveryear"	"2013"
"galdec"	"-470209"
"galra"	"213728"
"host"	"ESO 287-G40"
"hvel"	"9254"
"maxday"	"24"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.03"
"sndec"	"-47:01:54.8"
"snra"	"21:37:27.12"
"photometry"	"timeunit"	"MJD"	"time"	"56589.5"	"abmag"	"16.5"	"source"	"2,1"
