"name"	"PS1-14rt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS1-14rt,CSS140428:104928+570448"
"claimedtype"	"unk"
"discoverday"	"27"
"discoverer"	"PS1"
"discovermonth"	"4"
"discoveryear"	"2014"
"maxday"	"27"
"maxmonth"	"4"
"maxyear"	"2014"
"sndec"	"+57:04:47.6"
"snra"	"10:49:28.24"
"photometry"	"timeunit"	"MJD"	"time"	"56774.5"	"abmag"	"17.3"	"source"	"2,1"
