"name"	"SN2013ck"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003523.txt'>CBET 3523</a>"	"alias"	"2"
"aliases"	"SN2013ck,CSS130508:152429+483255"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+483254"
"galra"	"152429"
"host"	"A152429+4832"
"hvel"	"14700"
"maxday"	"15"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.049"
"sndec"	"+48:32:54.6"
"snra"	"15:24:29.07"
"photometry"	"timeunit"	"MJD"	"time"	"56427.5"	"abmag"	"17.2"	"source"	"2,1"
