"name"	"ASASSN-13dn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5665'>ATEL 5665</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"source"	"name"	"Thomas Langhans"	"alias"	"4"
"aliases"	"ASASSN-13dn,CSS140102:125258+322506"
"claimedtype"	"II"
"discoverday"	"14"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"12"
"discoveryear"	"2013"
"maxday"	"14"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.023"
"sndec"	"+32:25:09.3"
"snra"	"12:52:58.20"
"photometry"	"timeunit"	"MJD"	"time"	"56640.5"	"abmag"	"15.7"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56650.484"	"band"	"C"	"abmag"	"17.1"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56705.392"	"band"	"UV"	"abmag"	"17.1"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"56754.328"	"band"	"UV"	"abmag"	"19.2"	"source"	"4,1"
