"name"	"SN2010er"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002300/CBET002339.txt'>CBET 2339</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010er,CSS100609:155011+121642"
"claimedtype"	"unk"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2010"
"galdec"	"+121642"
"galra"	"155011"
"host"	"A155011+1216"
"maxday"	"8"
"maxmonth"	"6"
"maxyear"	"2010"
"sndec"	"+12:16:42.5"
"snra"	"15:50:11.14"
"photometry"	"timeunit"	"MJD"	"time"	"55355.5"	"abmag"	"17.8"	"source"	"2,1"
