"name"	"SN2010bd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002226.txt'>CBET 2226</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010bd,PS1-1000017"
"claimedtype"	"II"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2010"
"galdec"	"+460157"
"galra"	"121937"
"host"	"A121937+4601"
"hvel"	"17100"
"maxday"	"15"
"maxmonth"	"1"
"maxyear"	"2010"
"redshift"	"0.057"
"sndec"	"+46:01:55.98"
"snra"	"12:19:37.532"
"photometry"	"timeunit"	"MJD"	"time"	"55211.5"	"abmag"	"22.7"	"source"	"2,1"
