"name"	"SN2013ds"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003577.txt'>CBET 3577</a>"	"alias"	"2"
"aliases"	"SN2013ds,PSN J16112958+5722517"
"claimedtype"	"II"
"discoverday"	"4"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+572257"
"galra"	"161131"
"host"	"MCG +10-23-36"
"hvel"	"18900"
"maxday"	"4"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.053"
"sndec"	"+57:22:51.7"
"snra"	"16:11:29.58"
"photometry"	"timeunit"	"MJD"	"time"	"56477.5"	"abmag"	"17.1"	"source"	"2,1"
