"name"	"SN2003cl"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"discoverday"	"6"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"-024958"
"galra"	"123850"
"host"	"A123850-0249"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2003"
"sndec"	"-024958.8"
"snra"	"123850.11"
"photometry"	"timeunit"	"MJD"	"time"	"52704.54"	"band"	"C"	"abmag"	"20"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52725.24"	"band"	"C"	"abmag"	"19.5"	"source"	"1,2"
