"name"	"SN2011hl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002895.txt'>CBET 2895</a>"	"alias"	"2"
"aliases"	"SN2011hl,CSS110926:000156+065236"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2011"
"galdec"	"+065235"
"galra"	"000155"
"host"	"A000155+0652"
"hvel"	"24000"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2011"
"redshift"	"0.08"
"sndec"	"+06:52:35.9"
"snra"	"00:01:55.69"
"photometry"	"timeunit"	"MJD"	"time"	"55829.5"	"abmag"	"19.4"	"source"	"2,1"
