"name"	"SN2012dt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003188.txt'>CBET 3188</a>"	"alias"	"2"
"aliases"	"SN2012dt,PSN J00563888-0954091"
"claimedtype"	"IIP"
"discoverday"	"19"
"discoverer"	"Stu Parker"
"discovermonth"	"7"
"discoveryear"	"2012"
"galdec"	"-095451"
"galra"	"005643"
"host"	"NGC 309"
"hvel"	"5649"
"maxday"	"19"
"maxmonth"	"7"
"maxyear"	"2012"
"redshift"	"0.0189"
"sndec"	"-09:54:09.1"
"snra"	"00:56:38.88"
"photometry"	"timeunit"	"MJD"	"time"	"56127.5"	"abmag"	"18.0"	"source"	"2,1"
