"name"	"SN2006qg"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"+002649"
"galra"	"215418"
"host"	"A215418+0026"
"hvel"	"61200"
"maxday"	"30"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.23"
"sndec"	"+002649.2"
"snra"	"215418.09"
"photometry"	"timeunit"	"MJD"	"time"	"54057.0"	"band"	"g"	"abmag"	"22.0"	"source"	"1"
