"name"	"SN2011R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002645.txt'>CBET 2645</a>"	"alias"	"2"
"aliases"	"SN2011R,CSS110114:095830-105315"
"claimedtype"	"IIP"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"-105313"
"galra"	"095829"
"host"	"A095829-1053"
"hvel"	"6000"
"maxday"	"13"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.03"
"sndec"	"-10:53:15.4"
"snra"	"09:58:30.13"
"photometry"	"timeunit"	"MJD"	"time"	"55574.5"	"abmag"	"18.7"	"source"	"2,1"
