"name"	"SN2011ic"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002913.txt'>CBET 2913</a>"	"alias"	"2"
"aliases"	"SN2011ic,PSN J10153321-2034060"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"CHASE"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-203501"
"galra"	"101533"
"host"	"LEDA 154979"
"maxday"	"17"
"maxmonth"	"11"
"maxyear"	"2011"
"sndec"	"-20:34:06.0"
"snra"	"10:15:33.20"
"photometry"	"timeunit"	"MJD"	"time"	"55882.5"	"abmag"	"16.0"	"source"	"2,1"
