"name"	"SN2011hh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002888.txt'>CBET 2888</a>"	"alias"	"2"
"aliases"	"SN2011hh,MASTER OT 025704+494743"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"MASTER"
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+494743"
"galra"	"025704"
"host"	"A025704+4947"
"hvel"	"4500"
"maxday"	"28"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.015"
"sndec"	"+49:47:43.3"
"snra"	"02:57:04.61"
"photometry"	"timeunit"	"MJD"	"time"	"55862.5"	"abmag"	"16.9"	"source"	"2,1"
