"name"	"SN2005mw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/000300/CBET000344.txt'>CBET 344</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2005mw,SNF20050625-004"
"claimedtype"	"II"
"discoverday"	"24"
"discoverer"	"Nearby Supernova Factory"
"discovermonth"	"6"
"discoveryear"	"2005"
"galdec"	"+110903"
"galra"	"173744"
"host"	"A173744+1109"
"maxday"	"24"
"maxmonth"	"6"
"maxyear"	"2005"
"sndec"	"+11:09:03.7"
"snra"	"17:37:44.2"
"photometry"	"timeunit"	"MJD"	"time"	"53545.5"	"abmag"	"19.2"	"source"	"2,1"
