"name"	"SN2009ak"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001705.txt'>CBET 1705</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ak,CSS090214:102503+175821"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2009"
"galdec"	"+175804"
"galra"	"102502"
"host"	"A102502+1758"
"hvel"	"33800"
"maxday"	"13"
"maxmonth"	"2"
"maxyear"	"2009"
"redshift"	"0.12"
"sndec"	"+17:58:21.3"
"snra"	"10:25:03.36"
"photometry"	"timeunit"	"MJD"	"time"	"54875.5"	"abmag"	"19.4"	"source"	"2,1"
