"name"	"SN2003ap"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"-215110"
"galra"	"095052"
"host"	"A095052-2151"
"hvel"	"9000"
"maxday"	"9"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.0305"
"sndec"	"-215110.1"
"snra"	"095052.83"
"photometry"	"timeunit"	"MJD"	"time"	"52679.31"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52679.33"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52679.35"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
