"name"	"SN2012ds"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003185.txt'>CBET 3185</a>"	"alias"	"2"
"aliases"	"SN2012ds,PSN J16234592+0947123"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"7"
"discoveryear"	"2012"
"galdec"	"+094717"
"galra"	"162345"
"host"	"CGCG 80-21"
"hvel"	"10318"
"maxday"	"18"
"maxmonth"	"7"
"maxyear"	"2012"
"redshift"	"0.034"
"sndec"	"+09:47:12.3"
"snra"	"16:23:45.92"
"photometry"	"timeunit"	"MJD"	"time"	"56126.5"	"abmag"	"16.4"	"source"	"2,1"
