"name"	"SN2014br"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003903.txt'>CBET 3903</a>"	"alias"	"2"
"aliases"	"SN2014br,PSN J22595069-6133222"
"claimedtype"	"Ib/c"
"discoverday"	"14"
"discoverer"	"Stu Parker"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"-613353"
"galra"	"225950"
"host"	"ESO 147-G17"
"hvel"	"8342"
"maxday"	"14"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.028"
"sndec"	"-61:33:22.2"
"snra"	"22:59:50.69"
"photometry"	"timeunit"	"MJD"	"time"	"56791.5"	"abmag"	"16.5"	"source"	"2,1"
