"name"	"SN2009hr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001800/CBET001891.txt'>CBET 1891</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009hr,CSS090729:004034+033229"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2009"
"galdec"	"+033229"
"galra"	"004034"
"host"	"A004034+0332"
"hvel"	"5100"
"maxday"	"28"
"maxmonth"	"7"
"maxyear"	"2009"
"redshift"	"0.017"
"sndec"	"+03:32:29.1"
"snra"	"00:40:34.13"
"photometry"	"timeunit"	"MJD"	"time"	"55040.5"	"abmag"	"16.1"	"source"	"2,1"
