"name"	"SN2011dq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002749.txt'>CBET 2749</a>"	"alias"	"2"
"aliases"	"SN2011dq,PSN J00594775-0734205"
"claimedtype"	"II"
"discoverday"	"20"
"discoverer"	"Berto Monard"
"discovermonth"	"8"
"discoveryear"	"2011"
"galdec"	"-073442"
"galra"	"005950"
"host"	"NGC 337"
"hvel"	"1690"
"maxday"	"20"
"maxmonth"	"8"
"maxyear"	"2011"
"redshift"	"0.0055"
"sndec"	"-07:34:20.5"
"snra"	"00:59:47.75"
"photometry"	"timeunit"	"MJD"	"time"	"55793.5"	"abmag"	"15.6"	"source"	"2,1"
