"name"	"PSN J11164336+2734195"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/tocp.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J11164336+2734195,CSS110128:111643+273419"
"claimedtype"	"unk"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"maxday"	"27"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"+27:34:19.5"
"snra"	"11:16:43.36"
"photometry"	"timeunit"	"MJD"	"time"	"55588.5"	"abmag"	"17.2"	"source"	"2,1"
