"name"	"SN2008ba"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001200/CBET001296.txt'>CBET 1296</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008ba,CSS080227:160549+192717"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2008"
"galdec"	"+192717"
"galra"	"160549"
"host"	"A160549+1927"
"hvel"	"9000"
"maxday"	"26"
"maxmonth"	"2"
"maxyear"	"2008"
"redshift"	"0.03"
"sndec"	"+19:27:17.2"
"snra"	"16:05:49.17"
"photometry"	"timeunit"	"MJD"	"time"	"54522.5"	"abmag"	"18.6"	"source"	"2,1"
