"name"	"SN2011br"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002702.txt'>CBET 2702</a>"	"alias"	"2"
"aliases"	"SN2011br,PSN J15062020+6259006"
"claimedtype"	"Ib"
"discoverday"	"8"
"discoverer"	"LOSS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+625849"
"galra"	"150621"
"host"	"NGC 5881"
"hvel"	"6561"
"maxday"	"8"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.022"
"sndec"	"+62:59:00.6"
"snra"	"15:06:20.20"
"photometry"	"timeunit"	"MJD"	"time"	"55659.5"	"abmag"	"17.6"	"source"	"2,1"
