"name"	"SN2011da"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002733.txt'>CBET 2733</a>"	"alias"	"2"
"aliases"	"SN2011da,CSS110504:122228+374940"
"claimedtype"	"IIP"
"discoverday"	"3"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"+374939"
"galra"	"122227"
"host"	"A122227+3749"
"hvel"	"18000"
"maxday"	"3"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.06"
"sndec"	"+37:49:39.5"
"snra"	"12:22:27.91"
"photometry"	"timeunit"	"MJD"	"time"	"55684.5"	"abmag"	"19.2"	"source"	"2,1"
