"name"	"SN2014cu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003959.txt'>CBET 3959</a>"	"alias"	"2"
"aliases"	"SN2014cu,PSN J21504715-7355334"
"claimedtype"	"II"
"discoverday"	"21"
"discoverer"	"Stu Parker"
"discovermonth"	"6"
"discoveryear"	"2014"
"galdec"	"-735535"
"galra"	"215049"
"host"	"PGC 252921"
"hvel"	"8492"
"maxday"	"21"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.031"
"sndec"	"-73:55:33.4"
"snra"	"21:50:47.15"
"photometry"	"timeunit"	"MJD"	"time"	"56829.5"	"abmag"	"18.1"	"source"	"2,1"
