"name"	"SN2011fw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002829.txt'>CBET 2829</a>"	"alias"	"2"
"aliases"	"SN2011fw,PSN J03205424+3752053"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+375202"
"galra"	"032054"
"host"	"MCG +6-8-15"
"hvel"	"5104"
"maxday"	"2"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.0168"
"sndec"	"+37:52:05.3"
"snra"	"03:20:54.24"
"photometry"	"timeunit"	"MJD"	"time"	"55836.5"	"abmag"	"16.8"	"source"	"2,1"
