"name"	"SN2014de"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003976.txt'>CBET 3976</a>"	"alias"	"2"
"aliases"	"SN2014de,PSN J03083174+1425303"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"MASTER"
"discovermonth"	"8"
"discoveryear"	"2014"
"galdec"	"+142537"
"galra"	"030832"
"host"	"PGC 1457807"
"hvel"	"15000"
"maxday"	"27"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.05"
"sndec"	"+14:25:30.3"
"snra"	"03:08:31.74"
"photometry"	"timeunit"	"MJD"	"time"	"56896.5"	"abmag"	"17.2"	"source"	"2,1"
