"name"	"TCP J13535979-0755079"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J13535979-0755079.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"TCP J13535979-0755079,MLS150414:135400-075506"
"claimedtype"	"unk"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2015"
"host"	"NGC 5339"
"maxday"	"13"
"maxmonth"	"4"
"maxyear"	"2015"
"sndec"	"-07:55:07.9"
"snra"	"13:53:59.79"
"photometry"	"timeunit"	"MJD"	"time"	"57125.5"	"abmag"	"18.9"	"source"	"2,1"
