"name"	"SN2008gn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001500/CBET001552.txt'>CBET 1552</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008gn,CSS080924:040630+145214"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2008"
"galdec"	"+145214"
"galra"	"040629"
"host"	"A040629+1452"
"maxday"	"23"
"maxmonth"	"9"
"maxyear"	"2008"
"sndec"	"+14:52:14.0"
"snra"	"04:06:29.50"
"photometry"	"timeunit"	"MJD"	"time"	"54732.5"	"abmag"	"17.8"	"source"	"2,1"
