"name"	"LSQ12heq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4644'>ATEL 4644</a>"	"alias"	"2"
"aliases"	"LSQ12heq,PS1-12cht"
"claimedtype"	"IIn"
"discoverday"	"1"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"12"
"discoveryear"	"2012"
"maxday"	"1"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.15"
"sndec"	"-28:12:49.6"
"snra"	"03:33:04.0"
"photometry"	"timeunit"	"MJD"	"time"	"56262.5"	"abmag"	"20.1"	"source"	"2,1"
