"name"	"SN2001al"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"Gal-Yam, Maoz"
"discovermonth"	"3"
"discoveryear"	"2001"
"galdec"	"+360729"
"galra"	"154451"
"host"	"A154451+3607"
"hvel"	"19500"
"maxday"	"26"
"maxmonth"	"3"
"maxyear"	"2001"
"redshift"	"0.0673"
"sndec"	"+360729.0"
"snra"	"154451.74"
"photometry"	"timeunit"	"MJD"	"time"	"51994.0"	"band"	"R"	"abmag"	"21.1"	"source"	"1,2"
