"name"	"SN2013C"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003375.txt'>CBET 3375</a>"	"alias"	"2"
"aliases"	"SN2013C,PSN J11055522+7231203"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Masaki Tsuboi"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"+723129"
"galra"	"110556"
"host"	"PGC 33561"
"hvel"	"7182"
"maxday"	"12"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.023957"
"sndec"	"+72:31:20.3"
"snra"	"11:05:55.22"
"photometry"	"timeunit"	"MJD"	"time"	"56304.5"	"abmag"	"16.1"	"source"	"2,1"
