"name"	"Gaia15act"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"7"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"7"
"maxmonth"	"3"
"maxyear"	"2015"
"sndec"	"51.20970"
"snra"	"124.24897"
"photometry"	"timeunit"	"MJD"	"time"	"57088.278"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.18"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57088.352"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.21"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57106.853"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"19.02"	"source"	"1"
