"name"	"MASTER OT J081659.74+511233.7"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7129'>ATEL 7129</a>"	"alias"	"2"
"aliases"	"MASTER OT J081659.74+511233.7,PS15sg"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"MASTER"
"discovermonth"	"2"
"discoveryear"	"2015"
"maxday"	"20"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.05"
"sndec"	"+51:12:33.7"
"snra"	"08:16:59.74"
"photometry"	"timeunit"	"MJD"	"time"	"57073.5"	"abmag"	"17.1"	"source"	"2,1"
