"name"	"SN2011jr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002968.txt'>CBET 2968</a>"	"alias"	"2"
"aliases"	"SN2011jr,PSN J07063992+2353370"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+235336"
"galra"	"070640"
"host"	"UGC 3676"
"hvel"	"6777"
"maxday"	"28"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0226"
"sndec"	"+23:53:37.0"
"snra"	"07:06:39.91"
"photometry"	"timeunit"	"MJD"	"time"	"55923.5"	"abmag"	"17.1"	"source"	"2,1"
