"name"	"SN2009dg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001766.txt'>CBET 1766</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009dg,CSS090303:113345+143448"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"+143447"
"galra"	"113344"
"host"	"A113344+1434"
"hvel"	"27000"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2009"
"redshift"	"0.09"
"sndec"	"+14:34:47.9"
"snra"	"11:33:44.93"
"photometry"	"timeunit"	"MJD"	"time"	"54892.5"	"abmag"	"19.5"	"source"	"2,1"
