"name"	"SN2014df"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003977.txt'>CBET 3077</a>"	"alias"	"2"
"source"	"name"	"Maciel B. Sparrenberger"	"alias"	"3"
"aliases"	"SN2014df,PSN J03442399-4440081"
"claimedtype"	"Ib"
"discoverday"	"2"
"discoverer"	"Berto Monard"
"discovermonth"	"6"
"discoveryear"	"2014"
"galdec"	"-443841"
"galra"	"034432"
"host"	"NGC 1448"
"hvel"	"1167"
"maxday"	"2"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.003"
"sndec"	"-44:40:08.1"
"snra"	"03:44:23.99"
"photometry"	"timeunit"	"MJD"	"time"	"56810.5"	"abmag"	"14.0"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56864.295"	"band"	"U"	"abmag"	"15.4"	"source"	"3,1"
