"name"	"SN2002ap"
"source"	"name"	"<a href='https://www.nhn.ou.edu/~suspect/'>SUSPECT</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=astro-ph/0307136&amp;db_key=AST'>astro-ph/0307136</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002MNRAS.332L..73G&amp;db_key=AST'>2002MNRAS.332L..73G</a>"	"alias"	"3"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=astro-ph/0304010&amp;db_key=AST'>astro-ph/0304010</a>"	"alias"	"4"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=astro-ph/0209507&amp;db_key=AST'>astro-ph/0209507</a>"	"alias"	"5"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2014ApJS..213...19B'>Bianco et al. 2014</a>"	"alias"	"6"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"7"	"secondary"	"1"
"source"	"name"	"VSNET 2003"	"alias"	"8"
"source"	"name"	"R.J.Foley et al., 2003, PASP, 115, 1220; astro-ph/0307136"	"alias"	"9"
"source"	"name"	"A.Gal-Yam, E.O.Ofek, O.Shemmer, 2002, MNRAS, 332, L73; astro-ph/0204008"	"alias"	"10"
"source"	"name"	"Y.Yoshii et al., 2003, ApJ, 592, 467; astro-ph/0304010"	"alias"	"11"
"source"	"name"	"Unknown,?"	"alias"	"12"
"source"	"name"	"S.B.Pandey et al., 2003, MNRAS, 340, 375; astro-ph/0209507"	"alias"	"13"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"14"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07800/07810.html#Item1'>IAUC 7810</a>"	"alias"	"15"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"16"
"aliases"	"SN2002ap"
"claimedtype"	"Ib/c-pec"
"discoverday"	"11"
"discoverer"	"Yoji Hirose"
"discovermonth"	"2"
"discoveryear"	"2002"
"galdec"	"+154701"
"galra"	"013642"
"host"	"M74"
"hvel"	"632"
"maxday"	"11"
"maxmonth"	"2"
"maxyear"	"2002"
"redshift"	"0.002"
"sndec"	"+15:45:13.0"
"snra"	"01:36:23.87"
"photometry"	"timeunit"	"MJD"	"time"	"52316.5"	"abmag"	"12.3"	"source"	"15,14"
"photometry"	"timeunit"	"MJD"	"time"	"52303.04"	"band"	"R"	"abmag"	"15.2"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52303.2"	"band"	"C"	"abmag"	"14.4"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52303.39"	"band"	"C"	"abmag"	"14.5"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"V"	"abmag"	"13.841"	"aberr"	"0.026"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"U"	"abmag"	"14.014"	"aberr"	"0.074"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"R"	"abmag"	"13.596"	"aberr"	"0.024"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"B"	"abmag"	"14.417"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"I"	"abmag"	"13.699"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"B"	"abmag"	"14.77"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"I"	"abmag"	"13.83"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"R"	"abmag"	"13.79"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"U"	"abmag"	"14.43"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52304.17"	"band"	"V"	"abmag"	"14.1"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52304.38"	"band"	"C"	"abmag"	"13.7"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"V"	"abmag"	"13.13"	"aberr"	"0.021"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"U"	"abmag"	"13.2"	"aberr"	"0.031"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"R"	"abmag"	"13.136"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"B"	"abmag"	"13.451"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"I"	"abmag"	"13.281"	"aberr"	"0.018"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"B"	"abmag"	"13.8"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"I"	"abmag"	"13.41"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"R"	"abmag"	"13.34"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"U"	"abmag"	"13.61"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52305.13"	"band"	"V"	"abmag"	"13.39"	"source"	"7,9"
"photometry"	"timeunit"	"MJD"	"time"	"52305.37"	"band"	"R"	"abmag"	"13.41"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52305.75"	"band"	"C"	"abmag"	"13.6"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52305.77"	"band"	"V"	"abmag"	"13.5"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52305.78"	"band"	"C"	"abmag"	"13.23"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52305.78"	"band"	"R"	"abmag"	"13.1"	"source"	"7,8"
"photometry"	"timeunit"	"MJD"	"time"	"52305.78"	"band"	"R"	"abmag"	"13.4"	"source"	"7,8"
