"name"	"SN2011cj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002721.txt'>CBET 2721</a>"	"alias"	"2"
"aliases"	"SN2011cj,PSN J14325381+1135493"
"claimedtype"	"IIP"
"discoverday"	"1"
"discoverer"	"LOSS"
"discovermonth"	"7"
"discoveryear"	"2011"
"galdec"	"+113542"
"galra"	"143254"
"host"	"UGC 9356"
"hvel"	"2234"
"maxday"	"1"
"maxmonth"	"7"
"maxyear"	"2011"
"redshift"	"0.0074"
"sndec"	"+11:35:49.2"
"snra"	"14:32:53.81"
"photometry"	"timeunit"	"MJD"	"time"	"55743.5"	"abmag"	"15.9"	"source"	"2,1"
