"name"	"PSN J06511150-3024565"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J06511150-3024565.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J06511150-3024565,SNhunt119"
"claimedtype"	"II"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2012"
"host"	"ESO 427-G13"
"maxday"	"23"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.025"
"sndec"	"-30:24:56.5"
"snra"	"06:51:11.50"
"photometry"	"timeunit"	"MJD"	"time"	"56009.5"	"abmag"	"16.5"	"source"	"2,1"
