"name"	"SN1998es"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2006AJ....131..527J'>2006AJ....131..527J</a>"	"alias"	"2"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"3"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"4"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"5"
"source"	"name"	"D.Yu.Tsvetkov, N.N.Pavlyuk. In preparation."	"alias"	"6"
"source"	"name"	"S.Jha et al., 2005, astro-ph/0509234"	"alias"	"7"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"8"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07000/07050.html#Item1'>IAUC 7050</a>"	"alias"	"9"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"10"
"aliases"	"SN1998es"
"claimedtype"	"Ia-pec"
"discoverday"	"12"
"discoverer"	"LOSS"
"discovermonth"	"11"
"discoveryear"	"1998"
"galdec"	"+055239"
"galra"	"013718"
"host"	"NGC 632"
"hvel"	"3157"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"1998"
"redshift"	"0.011"
"sndec"	"+05:52:50.6"
"snra"	"01:37:17.60"
"photometry"	"timeunit"	"MJD"	"time"	"51129.5"	"abmag"	"14.6"	"source"	"9,8"
"photometry"	"timeunit"	"MJD"	"time"	"51130.3"	"band"	"C"	"abmag"	"14.6"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51131.34"	"band"	"R"	"instrument"	"kait1"	"abmag"	"14.75500"	"aberr"	"0.01300"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51131.34"	"band"	"I"	"instrument"	"kait1"	"abmag"	"14.77100"	"aberr"	"0.04000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51131.34"	"band"	"V"	"instrument"	"kait1"	"abmag"	"14.91200"	"aberr"	"0.01300"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51131.34"	"band"	"B"	"instrument"	"kait1"	"abmag"	"14.97900"	"aberr"	"0.01400"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51131.38"	"band"	"V"	"abmag"	"14.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51131.4"	"band"	"C"	"abmag"	"14.3"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51131.51"	"band"	"C"	"abmag"	"14.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51132.25"	"band"	"R"	"instrument"	"kait1"	"abmag"	"14.56300"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51132.25"	"band"	"I"	"instrument"	"kait1"	"abmag"	"14.58600"	"aberr"	"0.03100"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51132.25"	"band"	"V"	"instrument"	"kait1"	"abmag"	"14.70300"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51132.25"	"band"	"B"	"instrument"	"kait1"	"abmag"	"14.79300"	"aberr"	"0.01200"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51132.93"	"band"	"B"	"abmag"	"14.24"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51132.93"	"band"	"I"	"abmag"	"14.29"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51132.93"	"band"	"R"	"abmag"	"14.33"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51132.93"	"band"	"V"	"abmag"	"14.29"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51133.27"	"band"	"R"	"instrument"	"kait1"	"abmag"	"14.41000"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51133.27"	"band"	"I"	"instrument"	"kait1"	"abmag"	"14.42100"	"aberr"	"0.02400"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51133.27"	"band"	"V"	"instrument"	"kait1"	"abmag"	"14.53400"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51133.27"	"band"	"B"	"instrument"	"kait1"	"abmag"	"14.58800"	"aberr"	"0.01500"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51133.34"	"band"	"R"	"abmag"	"14.391"	"aberr"	"0.039"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51133.34"	"band"	"R"	"abmag"	"14.39"	"source"	"4,7"
