"name"	"SN2014ds"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004000/CBET004010.txt'>CBET 4010</a>"	"alias"	"2"
"aliases"	"SN2014ds,PSN J08111645+2510474"
"claimedtype"	"IIb"
"discoverday"	"10"
"discoverer"	"Xing Gao et al."
"discovermonth"	"10"
"discoveryear"	"2014"
"galdec"	"+251046"
"galra"	"081116"
"host"	"NGC 2536"
"hvel"	"4142"
"maxday"	"10"
"maxmonth"	"10"
"maxyear"	"2014"
"redshift"	"0.0137"
"sndec"	"+25:10:47.4"
"snra"	"08:11:16.45"
"photometry"	"timeunit"	"MJD"	"time"	"56940.5"	"abmag"	"16.3"	"source"	"2,1"
