"name"	"SN2007pp"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+002124"
"galra"	"031101"
"host"	"A031101+0021"
"hvel"	"68100"
"maxday"	"20"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.26"
"sndec"	"+002124.3"
"snra"	"031101.16"
"photometry"	"timeunit"	"MJD"	"time"	"54388.0"	"band"	"g"	"abmag"	"22.2"	"source"	"1"
