"name"	"SN2010K"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002131.txt'>CBET 2131</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010K,CSS100108:120247+022406"
"claimedtype"	"II"
"discoverday"	"7"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2010"
"galdec"	"+022406"
"galra"	"120246"
"host"	"A120246+0224"
"hvel"	"6000"
"maxday"	"7"
"maxmonth"	"1"
"maxyear"	"2010"
"redshift"	"0.02"
"sndec"	"+02:24:06.1"
"snra"	"12:02:46.87"
"photometry"	"timeunit"	"MJD"	"time"	"55203.5"	"abmag"	"16.4"	"source"	"2,1"
