"name"	"SN2010lu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002619.txt'>CBET 2619</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010lu,CSS101208:090601+292033"
"discoverday"	"7"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2010"
"galdec"	"+292041"
"galra"	"090600"
"host"	"A090600+2920"
"hvel"	"6900"
"maxday"	"7"
"maxmonth"	"12"
"maxyear"	"2010"
"redshift"	"0.023"
"sndec"	"+29:20:32.5"
"snra"	"09:06:00.70"
"photometry"	"timeunit"	"MJD"	"time"	"55537.5"	"abmag"	"16.8"	"source"	"2,1"
